Data Link,Version Name,Version Description,Keywords
https://data.egov.kz/api/v4/airport_kestesi1/v5?apiKey=yourApiKey,824. Перечень региональных молодежных организаций,В этом сборнике собрана информация о региональных молодежных организациях.,"Ключевые слова
Молодежные организации"
https://data.egov.kz/api/v4/perechen_regionalnyh_molodez2/v1?apiKey=yourApiKey,376. Перечень государственных детских домов в разрезе регионов,В данном наборе содержится данные о детском доме Мангистауской области,"Ключевые слова
Данные о детском доме"
https://data.egov.kz/api/v4/perechen_gosudarstvennyh_dets/v2?apiKey=yourApiKey,276. Перечень государственных специальных и интернатных организаций в разрезе регионов,В данном наборе содержатся данные о специальных и интернатных организациях Мангистауской области,"Ключевые слова
Арнайы және интернатты ұйымдаро специальных и интернатных организациях"
https://data.egov.kz/api/v4/perechen_gosudarstvennyh_spec/v4?apiKey=yourApiKey,304. Перечень государственных больниц в разрезе регионов,В данном наборе содержится данные о больницах Мангистауской области,"Ключевые слова
Больницы"
https://data.egov.kz/api/v4/perechen_gosudarstvennyh_bol/v2?apiKey=yourApiKey,305. Перечень государственных поликлиник в разрезе регионов,В данном наборе содержится данные о поликлиниках Мангистауской области,"Ключевые слова
Поликлиника"
https://data.egov.kz/api/v4/perechen_gosudarstvennyh_poli/v2?apiKey=yourApiKey,306. Перечень государственных диспансеров в разрезе регионов,В данном наборе содержатся данные о диспансерах Мангистауской области,"Ключевые слова
диспансерлер"
https://data.egov.kz/api/v4/perechen_gosudarstvennyh_disp/v2?apiKey=yourApiKey,307. Перечень государственных родильных домов в разрезе регионов,В данном наборе содержатся данные о родильных домах Мангистауской области,"Ключевые слова
Родильных домов"
https://data.egov.kz/api/v4/perechen_gosudarstvennyh_rodi/v2?apiKey=yourApiKey,120. Информация о реализованных инвестиционных проектах в разрезе регионов,В данном наборе содержатся данные о реализованных инвестиционных проектах по Мангистауской области,"Ключевые слова
инвестиционных проектах"
https://data.egov.kz/api/v4/informaciya_o_realizovannyh_in/v4?apiKey=yourApiKey,209. Перечень месторождений в разрезе регионов,В данном наборе содержатся данные о нефтегазовых месторождениях в Мангистауской области,"Ключевые слова
Кен орындары"
https://data.egov.kz/api/v4/209_perechen_mestorozhdenii_1/v3?apiKey=yourApiKey,234. Статистические данные по вакантным должностям учителей,Статистические данные по вакантным должностям учителей,"Ключевые слова
по вакантным должностям учителей"
https://data.egov.kz/api/v4/statisticheskie_dannye_po_vaka5/v7?apiKey=yourApiKey,416. Перечень предприятий по производству плодоовощной продукции в разрезе регионов,Перечень предприятий по производству плодоовощной продукции в разрезе регионов в Мангистауской области,"Ключевые слова
плодоовощной продукции"
https://data.egov.kz/api/v4/perechen_predpriyatii_po_proi/v1?apiKey=yourApiKey,"415. Перечень объектов агропромышленного комплекса (в том числе мясоперерабатывающие предприятия, предприятия по производству продуктов в лесном и рыбном хозяйствах) в разрезе регионов","В данном наборе содержатся данные о перечень предприятий по перечень объектов агропромышленного комплекса (в том числе мясоперерабатывающие предприятия, предприятия по производству продуктов в лесном и рыбном хозяйствах) в разрезе регионов в Мангистауской области","Ключевые слова
агропромышленно"
https://data.egov.kz/api/v4/perechen_obektov_agropromysh/v1?apiKey=yourApiKey,277. Перечень государственных организаций дополнительного образования в разрезе регионов,В данном наборе содержится данные о дополнительных образовательных организациях Мангистауской области,"Ключевые слова
дополнительных образовательных организаций"
https://data.egov.kz/api/v4/perechen_gosudarstvennyh_orga/v2?apiKey=yourApiKey,"380. Список граждан, состоящих на учете нуждающихся в жилье, в разрезе регионов","В данном сборнике представлен список гражда, состоящих на учете нуждающихся в жилье, в разрезе регионов","Ключевые слова
список граждансостоящих на учете нуждающихся в жилье"
https://data.egov.kz/api/v4/spisok_grazhdan_sostoyashih_n/v24?apiKey=yourApiKey,675. Данные о строительстве объектов социального назначения в разрезе регионовДанные о строительстве объектов социального назначения в разрезе регионов,Данные о строительве объектов социального назначения в разрезе регионов,"Ключевые слова
о строительстве объектов социального назначения в разрезе регионов"
https://data.egov.kz/api/v4/dannye_o_stroitelstve_obekto1/v2?apiKey=yourApiKey,729. Перечень государственных учреждений культуры в разрезе регионов,"В данном наборе содержится список культурных заведений области (театры, музеи) Мангистауской области","Ключевые слова
учреждений культуры"
https://data.egov.kz/api/v4/perechen_gosudarstvennyh_uchr/v2?apiKey=yourApiKey,"381. Список граждан, получивших жилье из коммунального жилищного фонда, в разрезе регионов","Список граждан, получивших жилье из коммунального жилищного фонда Мангистауского района","Ключевые слова
получивших жилье из коммунального"
https://data.egov.kz/api/v4/spisok_grazhdan_poluchivshih_/v19?apiKey=yourApiKey,679. Сведения по планируемому сносу дачных участков в разрезе регионов,В данном наборе содержатся данные о сведения по планируемому сносу дачных участков в разрезе регионов,"Ключевые слова
сведения по планируемому сносу дачных участков"
https://data.egov.kz/api/v4/svedeniya_po_planiruemomu_snos1/v7?apiKey=yourApiKey,"732. Информация по фонтанам, находящимся в коммунальной собственности в разрезе регионов","Информация по фонтанам, находящимся в коммунальной собственности, в разрезе регионов","Ключевые слова
Фонтанам"
https://data.egov.kz/api/v4/informaciya_po_fontanam_nahod/v11?apiKey=yourApiKey,35. Данные о реализованных для коммерческих целей земельных участках в разрезе регионов,Данные о реализованных для коммерческих целей земальных участках в разрезе регионов,"Ключевые слова
коммерческих целей земальных участках в разрезе регионов"
https://data.egov.kz/api/v4/dannye_o_realizovannyh_dlya_ko/v21?apiKey=yourApiKey,119. Перечень организаций по поддержке предпринимательства в разрезе регионов,В данном наборе содержатся данные о перечень организаций по поддержке предпринимательства в разрезе регионов,"Ключевые слова
по поддержке предпринимательства"
https://data.egov.kz/api/v4/perechen_organizacii_po_podde/v5?apiKey=yourApiKey,"600. Микрокредиты, выданные микрофинансовыми организациями региона, в разрезе государственных программ (по регионам)","В данном наборе содержатся данные о микрокредиты, выданные микрофинансовыми организациями региона, в разрезе государственных программ","Ключевые слова
выданные микрофинансовыми организациями региона"
https://data.egov.kz/api/v4/mikrokredity_vydannye_mikrofi/v3?apiKey=yourApiKey,676. Данные о строительстве жилых домов в разрезе регионов,В данном наборе содержатся данные о строительстве жилых домов в разрезе регионов,"Ключевые слова
о строительстве жилых домов"
https://data.egov.kz/api/v4/dannye_o_stroitelstve_zhilyh_/v16?apiKey=yourApiKey,"162. Перечень предприятий-товаропроизводителей, в разрезе регионов","В данном наборе содержатся данные о перечень предприятий-товаропроизводителей, в разрезе регионов","Ключевые слова
перечень предприятий-товаропроизводителей"
https://data.egov.kz/api/v4/perechen_predpriyatii-tovarop/v3?apiKey=yourApiKey,208. Данные по добыче общераспространенных полезных ископаемых в разрезе регионов,В данном наборе содержатся Реестр выданных лицензий на добычу общераспространенных полезных ископаемых на недропользование по Мангистауской области,"Ключевые слова
Реестр выданных лицензий на добычу общераспространенных полезных ископаемых на недропользование"
https://data.egov.kz/api/v4/dannye_po_dobyche_obsheraspros/v4?apiKey=yourApiKey,36. Распределение земельного фонда по категориям земель в разрезе районов и городов областного значения,"В данном наборе содержится Распределение земельного фонда по категориям земель в разрезе районов и городов областного значения (отчетный период; наименование города/района/сельского округа; общая площадь земель, гектар; площадь земель сельскохозяйственного назначения, гектар; площадь населенных пунктов, гектар; площадь земель особо охраняемых природных территорий; площадь земель лесного фонда, гектар; площадь земель водного фонда; площадь земель, используемых другими государствами, гектар; площадь земель промышленности, транспорта, связи и обороны; площадь запасов земель, гектар)","Ключевые слова
Распределение земельного фонда"
https://data.egov.kz/api/v4/raspredelenie_zemelnogo_fonda1/v4?apiKey=yourApiKey,"211. Сведения об общей сумме расходов на обучение казахстанских специалистов, научно-исследовательские, научно-технические и опытно-конструкторские работы на территории Республики Казахстан, на социально-экономическое развитие региона и развитие его инфраструктуры, социально-экономическую поддержку местного населения, произведенных недропользователем по годам","Сведения об общей сумме расходов на обучение казахстанских специалистов, научно-исследовательские, научно-технические и опытно-конструкторские работы на территории Республики Казахстан, на социально-экономическое развитие региона и развитие его инфраструктуры, социально-экономическую поддержку местного населения, произведенных недропользователем по годам","Ключевые слова
сведения об общей сумме расходов на обучение каз.спец."
https://data.egov.kz/api/v4/svedeniya_ob_obshei_summe_rash2/v3?apiKey=yourApiKey,731. Информация о туристских маршрутах в разрезе регионов,В данном наборе содержатся данные о туристских маршрутах Мангистауской области,Ключевые слова
https://data.egov.kz/api/v4/informaciya_o_turistskih_marsh/v4?apiKey=yourApiKey,210. Реестр выданных лицензий на недропользование,В данном наборе содержатся Реестр выданных лицензий на добычу общераспространенных полезных ископаемых на недропользование по Мангистауской области,"Ключевые слова
Реестр выданных лицензий на добычу общераспространенных полезных ископаемых на недропользование"
https://data.egov.kz/api/v4/reestr_vydannyh_licenzii_na_ne3/v3?apiKey=yourApiKey,121. Сведения по приватизации в разрезе регионов,В данном наборе содержатся сведения по приватизации по Мангистауской области,"Ключевые слова
сведения по приватизации"
https://data.egov.kz/api/v4/svedeniya_po_privatizacii_v_ra/v4?apiKey=yourApiKey,32. Информация по передаче государственного имущества в имущественный найм и доверительное управление в разрезе регионов,В данном наборе содержится информация по передаче государственного имущества в имущественный найм/аренду по Мангистауской области,"Ключевые слова
информация по передаче государственного имущества в имущественный найм/аренду"
https://data.egov.kz/api/v4/informaciya_po_peredache_gosud/v4?apiKey=yourApiKey,33. Данные о тендерах на доверительное управление объектов коммунальной собственности в разрезе регионов,В данном наборе содержатся данные о тендерах на доверительное управление объектов коммунальной собственности по Мангистауской области,"Ключевые слова
содержатся данные о тендерах на доверительное управление"
https://data.egov.kz/api/v4/dannye_o_tenderah_na_doveritel/v6?apiKey=yourApiKey,383. Статистика проведения ярмарок вакансий в разрезе регионов,В данном наборе содержатся данные статистика проведения ярмарок вакансий в разрезе регионов,"Ключевые слова
данные статистика проведения ярмарок вакансий в разрезе регионов"
https://data.egov.kz/api/v4/statistika_provedeniya_yarmaro/v3?apiKey=yourApiKey,"382. Статистика безработных, обратившихся в Центр занятости населения, в разрезе регионов","Статистика безработных, обратившихся в Центр занятости населения, в разрезе регионов","Ключевые слова
Жұмыспен қамту орталығына жүгінген жұмыссыздар статистикасы"
https://data.egov.kz/api/v4/statistika_bezrabotnyh_obrati/v10?apiKey=yourApiKey,734. Проводимые мероприятия по развитию и пропаганде языков в разрезе регионов,В данном наборе содержатся данные проводимые мероприятия по развитию и пропаганде языков в разрезе регионов,"Ключевые слова
тілдерді дамыту және насихаттау бойынша"
https://data.egov.kz/api/v4/provodimye_meropriyatiya_po_ra/v2?apiKey=yourApiKey,378. Статистика по получателям жилищной помощи в разрезе регионов,Статистика по получателям жилищной помощи по Мангистауской области,"Ключевые слова
Статистика по получателям жилищной помощи"
https://data.egov.kz/api/v4/statistika_po_poluchatelyam_zh/v6?apiKey=yourApiKey,66. Перечень государственных медико-социальных учреждений (организаций) для престарелых (отчетный период; наименование региона; наименование организации; форма собственности; специализация; общее количество мест; количество свободных мест; юридический адрес и контактный телефон),Перечень государственных медико-социальных учреждений (организаций) для престарелых,"Ключевые слова
медико-социальных учреждений (организаций) для престарелых"
https://data.egov.kz/api/v4/perechen_gosudarstvennyh_medi/v4?apiKey=yourApiKey,67. Перечень государственных медико-социальных учреждений (организаций) для лиц с инвалидностью (отчетный период; наименование региона; наименование организации; форма собственности; специализация; общее количество мест; количество свободных мест; юридический адрес и контактный телефон),Перечень государственных медико-социальных учреждений (организаций) для лиц с инвалидностью,"Ключевые слова
медико-социальных учреждений (организаций) для лиц с инвалидностью"
https://data.egov.kz/api/v4/perechen_gosudarstvennyh_medi1/v3?apiKey=yourApiKey,377. Статистика по получателям адресной социальной помощи в разрезе регионов,Статистика по получателям адресной социальной помощи в разрезе регионов,"Ключевые слова
адресной социальной помощи"
https://data.egov.kz/api/v4/statistika_po_poluchatelyam_ad/v11?apiKey=yourApiKey,379. Статистика по получателям возмещения затрат на обучение на дому детей-инвалидов в разрезе регионов,Статистика по получателям возмещения затрат на обучение на дому детей инвалидов по Мангистауской области,"Ключевые слова
мүгедек балаларды үйде оқыту шығындарына өтемақы алушылар жөніндегі статистика"
https://data.egov.kz/api/v4/statistika_po_poluchatelyam_vo/v5?apiKey=yourApiKey,680. Перечень объектов строительства дорог в разрезе регионов,В данном наборе содержатся данные объектов строительства дорог в разрезе регионов,"Ключевые слова
объектов строительства дорог"
https://data.egov.kz/api/v4/perechen_obektov_stroitelst/v2?apiKey=yourApiKey,681. Перечень объектов ремонта дорог в разрезе регионов,В данном наборе содержатся данные объектов ремонта дорог в разрезе регионов,"Ключевые слова
объектов ремонта дорог"
https://data.egov.kz/api/v4/perechen_obektov_remonta_dor/v2?apiKey=yourApiKey,733. Перечень культовых зданий в разрезе регионов,В данном наборе содержатся данные культовых зданий в разрезе регионов,"Ключевые слова
культовых зданий в разрезе регионов"
https://data.egov.kz/api/v4/perechen_kultovyh_zdanii_v_r/v2?apiKey=yourApiKey,730. Перечень государственных спортивных объектов в разрезе регионов,В данном наборе содержатся данные культовых зданий в разрезе регионов,"Ключевые слова
спорт"
https://data.egov.kz/api/v4/perechen_gosudarstvennyh_spor/v1?apiKey=yourApiKey,669. Сведения об объектах газоснабжения в разрезе регионов,В данном наборе содержатся данные об объектах газоснабжения Мангистауской области,"Ключевые слова
Газоснабжение"
https://data.egov.kz/api/v4/svedeniya_ob_obektah_gazosnab/v1?apiKey=yourApiKey,670. Сведения об объектах водоснабжения в разрезе регионов,Сведения об объектах водоснабжения в разрезе регионов,"Ключевые слова
Сумен жабдықтау нысандары"
https://data.egov.kz/api/v4/svedeniya_ob_obektah_vodosnab/v1?apiKey=yourApiKey,671. Сведения об объектах водоотведения в разрезе регионов,Сведения об объектах водоотведения в разрезе регионов,"Ключевые слова
Су бұру нысандары"
https://data.egov.kz/api/v4/svedeniya_ob_obektah_vodootve1/v1?apiKey=yourApiKey,668. Сведения об объектах энергоснабжения в разрезе регионов,Данные об объектах энергоснабжения Мангистауской области,"Ключевые слова
энергиямен жабдықтау"
https://data.egov.kz/api/v4/svedeniya_ob_obektah_energosn/v1?apiKey=yourApiKey,654. Сведения о качестве предоставления тепла в отопительный период в разрезе регионов,Тарифы на теплоснабжение по Мангистауской области,"Ключевые слова
жылумен жабдықтау тарифтері"
https://data.egov.kz/api/v4/svedeniya_o_kachestve_predosta/v1?apiKey=yourApiKey,673. Перечень объединений собственников имущества в разрезе регионов,Сведения об объектах вывоза мусора в разрезе регионов,"Ключевые слова
оси"
https://data.egov.kz/api/v4/perechen_obedinenii_sobstven1/v1?apiKey=yourApiKey,677. Данные о строительстве инженерно-коммуникационной инфраструктуры в разрезе регионов,Данные о строительстве инженерно-коммуникационной инфраструктуры в разрезе регионов,"Ключевые слова
Су бұру нысандары"
https://data.egov.kz/api/v4/dannye_o_stroitelstve_inzhene/v1?apiKey=yourApiKey,34. Информация о свободных земельных участках в разрезе регионов,В данном наборе содержатся данные о свободных земельных участков по Мангистауской области; О реализованных для коммерческих целей земельных участках Мангистауской области,"Ключевые слова
О реализованных для коммерческих целей земельных участках"
https://data.egov.kz/api/v4/informaciya_o_svobodnyh_zemel/v4?apiKey=yourApiKey,674. Информация о тарифах на вывоз мусора в разрезе регионов,В данном наборе содержится данные о тарифах на вывоз мусора в Мангистауской области,"Ключевые слова
ТБО"
https://data.egov.kz/api/v4/opendata-api-uri666/v1?apiKey=yourApiKey,672. Сведения об объектах вывоза мусора в разрезе регионов,В данном наборе содержится данные о тарифах на вывоз мусора в Мангистауской области,"Ключевые слова
ТБО объект"
https://data.egov.kz/api/v4/svedeniya_ob_obektah_vyvoza_m/v1?apiKey=yourApiKey,668. Сведения об объектах энергоснабжения в разрезе регионов,Данные об объектах энергоснабжения Мангистауской области,"Ключевые слова
энергиямен жабдықтау"
https://data.egov.kz/api/v4/svedeniya_ob_obektah_energosn1/?apiKey=yourApiKey,Перечень государственных больниц Павлодарской области,В данном наборе содержится информация о больницах Павлодарской области,"Ключевые слова
ауруханабольницаемделумедицинские услуги"
https://data.egov.kz/api/v4/pavlodar_oblysy_emhana_turaly_/v8?apiKey=yourApiKey,Перечень государственных поликлиник Павлодарской области,В данном наборе содержится информация о поликлиниках Павлодарской области,"Ключевые слова
емханаполиклиникамедициналық көмекмедицинские услуги"
https://data.egov.kz/api/v4/pavlodar_oblysy_poliklinika_tu/v10?apiKey=yourApiKey,Сведения об объектах вывоза мусора Павлодарской области,В данном наборе содержатся данные об объектах вывоза мусора,"Ключевые слова
қоқыс шығарувывоз твердых бытовых отходовқатты тұрмыстық қалдықтарды шығаруобъекты вывоза мусора"
https://data.egov.kz/api/v4/kokys_shygaru_nysandary_turaly/v11?apiKey=yourApiKey,Информация о тарих на вывоз мусора Павлодарской области,В данном наборе содержится информация о тарифах на вывоз мусора,"Ключевые слова
қоқыс шығарутарифықатты тұрмыстық қалдықтарды шығарутвердые бытовые отходы"
https://data.egov.kz/api/v4/kokys_shygaru_tarifteri1/v10?apiKey=yourApiKey,Перечень государственных медико-социальных учреждений (организаций) для престарелых Павлодарской области,В данном наборе содержится информация о домах престарелых Павлодарской области,"Ключевые слова
қарттар үйіинтернаты для престарелыхқарт адамдарға күтім жасаусоциальная защита"
https://data.egov.kz/api/v4/karttar_uileri_turaly_derekter/v11?apiKey=yourApiKey,Перечень государственных медико-социальных учреждений (организаций) для лиц с инвалидностью Павлодарской области,В данном наборе содержится информация о домах инвалидах Павлодарской области,"Ключевые слова
мүгедектер үйісоциальная реабилитацияәлеуметтік көмекдома инвалидов"
https://data.egov.kz/api/v4/mugedekter_uileri_turaly_derek/v12?apiKey=yourApiKey,"Организации для детей-сирот, оставшихся без попечения родителей Павлодарской области",В данном наборе содержится информация о детских домах Павлодарской области,"Ключевые слова
жетім балалардетские домаәлеуметтік көмекдети-сироты"
https://data.egov.kz/api/v4/balalar_uii_turaly_derekter/v11?apiKey=yourApiKey,"Информация по фонтанам, находящимся в коммунальной собственности Павлодарской области","В данном наборе содержится информация о фонтанах по Павлодарской области, находящихся в коммунальной собственности","Ключевые слова
субұрқақфонтандемалысдостопримечательность"
https://data.egov.kz/api/v4/pavlodar_oblysynyn_kommunaldyk/v10?apiKey=yourApiKey,Проводимые мероприятия по развитию и пропаганде языков Павлодарской области,"В данном наборе представлены мероприятия, проводимые по развитию и пропаганде языков","Ключевые слова
тілдерге оқытуизучение языковмемлекеттік тілді насихаттауязыковая культура"
https://data.egov.kz/api/v4/tilderdi_damytu_zhane_nasihatt/v8?apiKey=yourApiKey,Сведения об объектах энергоснабжения Павлодарской области,В данном наборе содержится информация об объектах энергоснабжения Павлодарской области,"Ключевые слова
энергиямен жабдықтау нысандарыобъекты энергоснабженияэлектр энергиясын таратуэнергетические ресурсы"
https://data.egov.kz/api/v4/energiyamen_zhabdyktau_nysanda2/v11?apiKey=yourApiKey,Перечень объектов ремонта дорог Павлодарской области,В данном наборе содержится информация об объектах ремонта дорог Павлодарской области,"Ключевые слова
жолдарды жөндеуремонт дорогавтожолдарды қайта жаңартуреконструкция автодорог"
https://data.egov.kz/api/v4/zholdardy_zhondeu_obektileri/v14?apiKey=yourApiKey,Перечень региональных молодежных организаций Павлодарской области,Данный набор содержит перечень молодежных организации Павлодарской области,"Ключевые слова
жастар ұйымдарымолодежная организацияжастармен жұмысработа с молодежью"
https://data.egov.kz/api/v4/zhastar_uiymdary1/v7?apiKey=yourApiKey,Сведения об объектах водоснабжения Павлодарской области,Данный набор содержит информацию об объектах водоснабжения,"Ключевые слова
сумен жабдықтауводоснабжениесу тұтынупитьевая вода"
https://data.egov.kz/api/v4/sumen_kamtamasyzdandyru_obekt/v11?apiKey=yourApiKey,Данные по добыче общераспространенных полезных ископаемых Павлодарской области,В данном наборе содержатся данные по добыче общераспространенных полезных ископаемых Павлодарской области,"Ключевые слова
пайдалы қазбаларместорождениетабиғи ресурстарполезные ископаемые"
https://data.egov.kz/api/v4/ken_taralgan_paidaly_kazbalard10/v34?apiKey=yourApiKey,Данные о строительстве объектов социального назначения Павлодарской области,В данном наборе содержится информация о строительстве объектов социального назначения Павлодарской области,"Ключевые слова
әлеуметтік нысандарстроительствоқұрылысобъекты социального назначения"
https://data.egov.kz/api/v4/aleumettik_manyzy_bar_obektil/v6?apiKey=yourApiKey,Перечень месторождений Павлодарской области,В данном наборе содержится информация о месторождениях Павлодарской области,"Ключевые слова
пайдалы қазбаместорождениякен орындарызалежь"
https://data.egov.kz/api/v4/ken_oryndary1/v10?apiKey=yourApiKey,Сведения по приватизации Павлодарской области,В данном наборе содержится информация по приватизации,"Ключевые слова
приватизациятранспорткоммунальная собственность"
https://data.egov.kz/api/v4/zhekeshelendiru_boiynsha_akpar2/v6?apiKey=yourApiKey,Информация по передаче государственного имущества в имущественный найм/аренду по Павлодарской области,В данном наборе содержится информация по передаче государственного имущества в имущественный найм и доверительное управление по Павлодарской области,"Ключевые слова
имуществоимущественный наймдоверительное управление"
https://data.egov.kz/api/v4/memlekettik_mulikti_muliktik_z1/v5?apiKey=yourApiKey,Перечень государственных родительных домов Павлодарской области,В данном наборе содержится информация о родильных домах Павлодарской области,"Ключевые слова
перзентханародильные домажүктілікноворожденные"
https://data.egov.kz/api/v4/perzenthanalar/v7?apiKey=yourApiKey,Перечень государственных диспансеров Павлодарской области,В данном наборе содержится информация о диспансерах Павлодарской области,"Ключевые слова
диспансерлермедицинская помощьмедициналық мекемездравоохранение"
https://data.egov.kz/api/v4/dispanserler/v7?apiKey=yourApiKey,Статистика по получателям возмещения затрат на обучение на дому детей инвалидов Павлодарской области,В данном наборе содержится статистика по получателям возмещения затрат на обучение на дому детей инвалидов,"Ключевые слова
мүгедек балаларобучение детей инвалидовоқыту шығындарын өтеусоциальная поддержка"
https://data.egov.kz/api/v4/mugedek_balalardy_uide_okytu_s/v19?apiKey=yourApiKey,Статистика по получателям жилищной помощи Павлодарской области,Данный набор содержит статистику по получателям жилищной помощи,"Ключевые слова
тұрғын үй көмегін алушыларсоциальная помощьаз қамтылған отбасыларблагосостояние граждан"
https://data.egov.kz/api/v4/turgyn_ui_komegin_alushylar_bo1/v23?apiKey=yourApiKey,Сведения об объектах водоотведения Павлодарской области,В данном наборе содержится информация об объектах водоотведения,"Ключевые слова
су бұру объектілеріобъекты водоотведенияводные объектысу бұру қызметтері"
https://data.egov.kz/api/v4/sumen_kamtamasyzdandyru_obekt1/v9?apiKey=yourApiKey,Статистика проведения ярмарок вакансий по Павлодарской области,В данном наборе содержится статистика по проведению ярмарок вакансий,"Ключевые слова
бос орындар жәрмеңкесітрудоустройствожұмыспен қамтурынок труда"
https://data.egov.kz/api/v4/bos_oryndar_zharmenkesin_otkiz/v18?apiKey=yourApiKey,Данные о строительстве жилых домов Павлодарской области,В данном наборе содержится информация о строительстве жилых домов Павлодарской области области,"Ключевые слова
тұрғын үйстроительство жильямердігержилой дом"
https://data.egov.kz/api/v4/turgyn_uiler_kurylysy/v7?apiKey=yourApiKey,Данные о строительстве инженерно-коммуникационной инфраструктуры Павлодарской области,Данный набор содержит информацию по строительству инженерно-коммуникационной инфраструктуры,"Ключевые слова
инженерлік коммуникациялар желілерісети инженерных коммуникацийқұрылыс саласыинфраструктура"
https://data.egov.kz/api/v4/inzhenerlik-kommunikaciyalyk_i2/v6?apiKey=yourApiKey,Информация о реализованных инвестиционных проектах Павлодарской области,В данном наборе содержится информация о реализованных инвестиционных проектах Павлодарской области,"Ключевые слова
инвестициялық жобаобъем инвестицийжұмыс орындарыотрасль"
https://data.egov.kz/api/v4/iske_asyrylgan_investiciyalyk_1/v1?apiKey=yourApiKey,Перечень совместных предприятий с участием иностранных инвестиций Павлодарской области,В данном наборе содержится перечень совместных предприятий с участием иностранных инвестиций,"Ключевые слова
өндіріс көлеміпривлечение инвестицийжұмыс орындарыбизнес"
https://data.egov.kz/api/v4/sheteldik_investiciyalardyn_ka/v8?apiKey=yourApiKey,Данные о реализованных для коммерческих целей земельных участках Павлодарской области,Набор содержит информацию о реализованных для коммерческих целей земельных участках,"Ключевые слова
жер учаскелеріземельный участокаукционгектар"
https://data.egov.kz/api/v4/kommerciyalyk_maksattarga_arna/v7?apiKey=yourApiKey,Перечень государственных учреждений культуры Павлодарской области,Данный набор содержит информацию об учреждениях культуры,"Ключевые слова
мәдениет мекемелері учреждения культуры демалыс культурная жизнь"
